pk_cnae;nu_ordem_1;nu_ordem_2;nu_ordem_3;nu_ordem_4;nu_ordem_5;cd_ramo_atividade_1;cd_ramo_atividade_2;cd_ramo_atividade_3;cd_ramo_atividade_4;cd_ramo_atividade_5;de_ramo_atividade_1;de_ramo_atividade_2;de_ramo_atividade_3;de_ramo_atividade_4;de_ramo_atividade_5
2548;0;1;2;3;;1623400;4724500;4744002;4789099;;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE ARTEFATOS DE TANOARIA E DE EMBALAGENS DE MADEIRA;
2550;0;1;2;3;4;4755503;4759899;4781400;4782201;4782202;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE CALCADOS;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE
2549;0;1;;;;0111302;0119908;;;;CULTIVO DE MELANCIA;CULTIVO DE MILHO;;;
2545;0;1;2;3;;4755502;4755503;4781400;4789001;;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE SUVENIRES BIJUTERIAS E ARTESANATOS;
2543;0;1;2;3;4;4755502;4755503;4761002;4781400;4782201;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE CALCADOS;COMERCIO VAREJISTA DE JORNAIS E REVISTAS
2541;0;1;2;3;4;3314707;4322302;4772500;9602501;9609206;CABELEIREIROS MANICURE E PEDICURE;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;INSTALACAO E MANUTENCAO DE SISTEMAS CENTRAIS DE AR CONDICIONADO DE VENTILACAO E REFRIGERACAO;MANUTENCAO E REPARACAO DE MAQUINAS E APARELHOS DE REFRIGERACAO E VENTILACAO PARA USO INDUSTRIAL E COMERCIAL;SERVICOS DE TATUAGEM E COLOCACAO DE PIERCING
2540;0;1;2;3;;1529700;2229399;2599399;3212400;;FABRICACAO DE ARTEFATOS DE COURO NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE ARTEFATOS DE MATERIAL PLASTICO PARA OUTROS USOS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE BIJUTERIAS E ARTEFATOS SEMELHANTES;FABRICACAO DE OUTROS PRODUTOS DE METAL NAO ESPECIFICADOS ANTERIORMENTE;
2542;0;1;2;;;4721102;4721104;5611203;;;COMERCIO VAREJISTA DE DOCES BALAS BOMBONS E SEMELHANTES;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;;
2544;0;1;;;;8720499;9499500;;;;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;ATIVIDADES DE ASSISTENCIA PSICOSSOCIAL E A SAUDE A PORTADORES DE DISTURBIOS PSIQUICOS DEFICIENCIA MENTAL E DEPENDENCIA QUIMICA NAO ESPECIFICADAS ANTERIORMENTE;;;
2562;0;1;2;;;2539001;4744001;4757100;;;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO EXCETO INFORMATICA E COMUNICACAO;SERVICOS DE USINAGEM TORNEARIA E SOLDA;;
2572;0;1;2;;;4330499;4743100;7319002;;;COMERCIO VAREJISTA DE VIDROS;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;PROMOCAO DE VENDAS;;
